text,Toxic,MedicalTerminology,NonToxic,MinorityGroup,sentence_length
хубаво дупе не помага в случая,1.0,0.0,0.0,0.0,30
rollingeyes правиш секс не се пазиш закъснява ти и те е страх да разбереш дали си бременна,0.0,1.0,0.0,0.0,90
там апаратурата е добра но не зная доктор проданова дали разбира достатъчно от гърди,0.0,1.0,0.0,0.0,84
прижени ти се искаш регулярен секс семейство деца вечеря споделени почивни дни ама в един момент се оказва че жените не са будали и те искат някакви неща,1.0,0.0,0.0,0.0,153
хем платени секс услуги хем виагра хем само    мин му се губят не е добре,1.0,0.0,0.0,0.0,73
имаше две тежки сцени срещата на серина и джун както и секс сцената с джун и люк,0.0,1.0,0.0,0.0,80
да дават две деца как правят секс,1.0,0.0,0.0,0.0,33
само   месеца след спиране на лекарствата за акне веднага започнах с пълен комплект от маниакалност тестове за о мерене на бт секс по график и това че не ставаше след толкова години чакане да започнем ме съсипваше,0.0,1.0,0.0,0.0,213
бебо е около      гр каза разходки секс и каквото се сетя        та вчера хубаво се разходихме хапнах си ананас и цяла вечер бях с контракции на    мин,0.0,1.0,0.0,0.0,151
ако се разминават без значение дали са на       и    и без значение дали става дума секс или нещо друго пак няма да се чувстват добре един с друг,0.0,1.0,0.0,0.0,145
много глупости виждат бял свят погледнете пик например,1.0,0.0,0.0,0.0,54
първо се спукали от секс,1.0,0.0,0.0,0.0,24
тая путка има меки цици,1.0,0.0,0.0,0.0,23
аналният секс свирките сексът между повече от двама човека сексът без проникване  всичко това тогава е перверзно,1.0,0.0,0.0,0.0,112
аз не бих готвил в тази печка,0.0,0.0,1.0,0.0,29
после пък с две породени ревящи бебета ми беше смао до секс,0.0,1.0,0.0,0.0,59
първата ми печка не помня марката беше със същите и се стопиха отвътре        сегашната е горение,0.0,0.0,1.0,0.0,97
диди ако се влюбваше във всяка с която прави секс а не която му запее този филм ще си загуби половината интрига,1.0,0.0,0.0,0.0,111
бременна съм в  ти месец и от два месеца нямам абсолютно никакво желание за секс,0.0,1.0,0.0,0.0,80
също така редовно си пускат някакви секс закачки и си мислят че не мога да ги разбера защото съм стара,1.0,0.0,0.0,0.0,102
да не е     само секс,1.0,0.0,0.0,0.0,21
пасторът им казва за да станете членове на църквата трябва да издържите   седмици без да правите секс,0.0,1.0,0.0,0.0,101
има статистика че мъжете които много шетат в къщи правят помалко секс,1.0,0.0,0.0,0.0,69
след първата операция имахме две тръбички  една през ствола на пениса и една минаваща през основата под него там където беше дупчицата първоначално за урината,0.0,1.0,0.0,0.0,158
аз да чукам на дърво почти си казах чао с гаденето,0.0,0.0,1.0,0.0,50
аз обичам да си говоря смешки с хората хич не ме интересува кой къде правил секс каква манджа харесва и прочие,1.0,0.0,0.0,0.0,110
върти се изтласква се с крачета и вири дупе докато не я хване много е смешна,1.0,0.0,0.0,0.0,76
генчо е просто тъпак тоя наистина не осъзнава какво прави,1.0,0.0,0.0,0.0,57
гърдите ми вече от дълго време са омекнали и матката ми не е така оголемена,0.0,1.0,0.0,0.0,75
популярният преди    години слонски гъз с уши имате предвид нали,1.0,0.0,0.0,0.0,64
животът е ужасно шибан и несправедлив все си отиват без време добри и обичани хора,1.0,0.0,0.0,0.0,82
като става дума за богат задник и преговорите със смъртта то героят на мориак е победител,1.0,0.0,0.0,0.0,89
чукам отварям и влизам,0.0,0.0,1.0,0.0,22
паренето в гърдите сякаш намаля леко,0.0,1.0,0.0,0.0,36
защото колкото и да си казва че при нея идва нея е поглезил и от нея го е вдигнал този мъж пак се прибира при тая съпруга всеки път тя носи неговото име на нея деца е направил и накрая при нея ще отиде всичко което са градили в техния семеен живот не в секс квартирата,1.0,0.0,0.0,0.0,268
аз съм малко егоист и не съм се замисляла за повъзрастните когато съм била млада но откакто и аз остарях живо се интересувам дали тия    правят секс ужасно се радвам когато някои сподели че е така,1.0,0.0,0.0,0.0,196
като решихме пък че спираме да се пазим добре за таткото че се получи на първия месец бях прочела де що литература намерих за това какво трябва да яде мъжа че да е повероятно момче и кога точно според овулацията да се прави секс и го приложих на практика,0.0,1.0,0.0,0.0,254
дълго време не са ме наричали кучка,1.0,0.0,0.0,0.0,35
търговия с влияние колко повече можел да плати за секс,1.0,0.0,0.0,0.0,54
освен след разговора с шахика в кафенето да е изтичала предвидливо при дедко и двамата да са планирали да прецакат някак кучка №,1.0,0.0,0.0,0.0,128
единствено не тренирах по време на стимулацията и съответно не правех секс понеже бях чела че може да се пукнат фоликулите а при мен на ец те и без друго бяха малко,0.0,1.0,0.0,0.0,164
а за мокрите сънища аз имам но и ми се прави секс,1.0,0.0,0.0,0.0,49
шумния секс бих го секнала с кеф но няма да давам идеи,1.0,0.0,0.0,0.0,54
обаче с негрите не мисля че би се получило не е тоз матрял най много да се просне на земята и да се запревива чернилката,1.0,0.0,0.0,0.0,120
пък отвреме навреме секс и вечери и приятни разговори особено в тази изолация не вредят,0.0,1.0,0.0,0.0,87
аз като абсолютен музикален кретен и профан си признавам че си ги слушам и хаузер и лола отделно и заедно без всякакви забележки и всеки път като работим до късно диджействам без всякакви задръжки но удоволствието да изкодоша разни дами с изключителни превземки и претенции цена няма  дейвид гарет ще си го слушам и гледам и по памперс да ми излезе на сцената d и сериозно  правото на артиста да интерпретира е неотменно за мен,1.0,0.0,0.0,0.0,427
освен че една от секс робините на епщайн го обвиняват че е била принудена да прави секс с него докато е била непълнолетна има свидетели които са го виждали и с непълнолетно рускоговорящо момиче името й не се уточнява,1.0,0.0,0.0,0.0,216
секс уют предизвикателство и найвече удовлетворение,1.0,0.0,0.0,0.0,51
от няколко дни не се буди вечер да яде и направо не мога да повярвам  да чукам на дърво,0.0,0.0,1.0,0.0,87
танер да не е глупак че да участва в този претупан сериал,1.0,0.0,0.0,0.0,57
вчера докато беше по коремче ги сложих пред нея така че за    см да не може да ги стигне от зор детето почна да повдига дупе и да се опитва да се приплъзне милото но все още не намира как точно да стане,0.0,1.0,0.0,0.0,202
анален секс не правя,1.0,0.0,0.0,0.0,20
не знам дали се вижда какво яко дупе има,1.0,0.0,0.0,0.0,40
а с патрокъл между другото са били братовчеди израсли са заедно нищо чудно няма че са дели една каюта това не значи и че са правили секс,1.0,0.0,0.0,0.0,136
секс манджа чисти дрехи,1.0,0.0,0.0,0.0,23
повечето такива не го правят от липса на секс а заради тръпката,1.0,0.0,0.0,0.0,63
не бе тъпак,1.0,0.0,0.0,0.0,11
ако тя откаже секс а той настоява понеже не бил свикнал да го режат и в последствие я уволни заради отказа й това е чист сексуален тормоз,1.0,0.0,0.0,0.0,137
