text,Toxic/Indecent,Medical/Biological,Multiple Meanings,Related to LGBT/Other,sentence_length
"Тук може да получите консултация и съвет за симптоми, диагностика и лечение на това състояние.",0,0,0,0,94
"На вашите въпроси отговаря медицинския екип на ""Фрамар"".Възпалението на шийката на матката се нарича цервицит.",0,0,0,0,110
"Установи се около 2/3 изменение на шийката на матката, видимо като нежна мозайка.",0,0,0,0,81
"Междувременно направих и цистит, последва ново лечение...",0,0,0,0,57
И след това - наскоро - биопсия.,0,0,0,0,32
Диагнозата е Папилома Коли Уретери.,0,0,0,0,35
Резултатът: 1)Плосък папилом на порциото - прав и обратен тип.,0,0,0,0,62
Няма установена дисплазия.,0,0,0,0,26
2)Пластинка плосък епител с койлоцити.,0,0,0,0,38
Дисплазия и тук не се установява.,0,0,0,0,33
На 42 години съм.,0,0,0,0,17
С едно раждане преди много години.,0,0,0,0,34
Препоръката на лекаря ми е през следващия месец да ми направи конизация.,0,0,0,0,72
"Моля за ваше мнение, съвет и насоки.",0,0,0,0,36
Предварително благодаря.,0,0,0,0,24
"Установи се около 2/3 изменение на шийката на матката, видимо като нежна мозайка.",0,0,0,0,81
"Междувременно направих и цистит, последва ново лечение...",0,0,0,0,57
И след това - наскоро - биопсия.,0,0,0,0,32
Диагнозата е Папилома Коли Уретери.,0,0,0,0,35
Резултатът: 1)Плосък папилом на порциото - прав и обратен тип.,0,0,0,0,62
Няма установена дисплазия.,0,0,0,0,26
2)Пластинка плосък епител с койлоцити.,0,0,0,0,38
Дисплазия и тук не се установява.,0,0,0,0,33
На 42 години съм.,0,0,0,0,17
С едно раждане преди много години.,0,0,0,0,34
Препоръката на лекаря ми е през следващия месец да ми направи конизация.,0,0,0,0,72
"Моля за ваше мнение, съвет и насоки.",0,0,0,0,36
"Предварително благодаря.Здравейте, Lora Palmar!Препоръчваме Ви да потърсите още една консултация при акушер-гинеколог, тясно специализиран и занимаващ се предимно с такива случаи и диагнози.",0,0,0,0,190
