text,Toxic,MedicalTerminology,NonToxic,MinorityGroup,sentence_length
"Харесвате си транс мацка и искате да правите секс с нея, но не сте сигурни какво би я задоволило или как да не я обидите, тъй като не се чувствате добре запознати?",0,0,0,0,163
Това е статията за вас.,0,0,0,0,23
(Любопитните също са добре дошли!),0,0,0,0,34
"Нечесто се натъквам на коментари от мъже, които са попаднали в неловки секс ситуации или не разбират къде грешат, стане ли въпрос за транс секс.",0,0,0,0,144
Толкова много въпроси изникват при много стрейт или би/пан мъже: как да се отнеса с уважение?,0,0,0,0,93
Какво би й харесало?,0,0,0,0,20
Дали мога да я нарека ____ без да прегазя лука?,0,0,0,0,47
"Отговорът на всичко това, дори да не сте силно информирани с детайли около транс идентичностите е много прост.",0,0,0,0,110
Просто следваме едничкото правило за добър секс като цяло – а това е добра КОМУНИКАЦИЯ.,0,0,0,0,87
Страх ви е да питате?,0,0,0,0,21
Питайте.,0,0,0,0,8
"Давам ви гаранция, че резултатът от това ще е поне 10 пъти по-задоволителен от това да премълчите и да сгафите с нещо, което партньорката ви всъщност не намира за особено привличащо.",0,0,0,0,182
Изговорете всички притеснения и когато всичко е на една страница – тогава е време да започнете.,0,0,0,0,95
"Ето все пак и някои неща, които е добре да се вземат предвид:",0,0,0,0,61
"Не по-малко важно от всичко останало е, да се уверите, че сте запознати с местоименията на партньора ви – кофти изказвания по време на секс могат тотално да убият настроението и атмосферата.",0,0,0,0,190
"Покажете, че ви пука.",0,0,0,0,21
Важно е.,0,0,0,0,8
"Ако се чудите как да се отнесете с транс момиче например – нека не забравяме, че да правите секс с нея, не е по-различно от това да правите секс с което и да е друго момиче – подходете по такъв начин и с тази менталност.",0,0,0,0,220
"Ако сте мъж – да правите секс с транс момиче, не е нещо “гей“ и определено не е “фетиш“ (независимо какво сте чули).",0,0,0,0,116
Транс хората сме човешки същества като всички други и не очакваме по-специално отношение.,0,0,0,0,89
Очакваме човешко такова.,0,0,0,0,24
И го заслужаваме.,0,0,0,0,17
Нова година – нов #TRANSlation.,0,0,0,0,31
"След цялата трансфобия, която се изля от личности като J.",0,0,0,0,57
K.,0,0,0,0,2
"Rowling и след решението на Конституционния съд у нас наистина се замислих, колко много на всички ни е писнало да чуваме за “биологичният пол“.",0,0,0,0,143
"Всъщност, ако дисектираме достатъчно разбиранията и твърденията на повечето хора за него, ще осъзнаем, че той реално НЕ СЪЩЕСТВУВА.",0,0,0,0,131
"Нека погледнем разни мнения, които често срещам (перифразирани и лишени от циничност):",0,0,0,0,86
Това далеч не е така.,0,0,0,0,21
"Според статистики около 2% (колкото е и популацията на червенокоси хора) от населението на земята се ражда интерсекс и има отличителни белези и от двата пола, което е само една от причините принизяването на биологичният пол до гениталиите на човек да е меко казано абсурдно.",0,0,0,0,274
Какво се случва с всеки от нас там долу е нещо изключително лично и често хората стрелят с грешни предположения.,0,0,0,0,112
"Всъщност именно това погрешно разбиране причинява много болка не само за транс, но и за интерсекс хората, защото често докторите си позволяват да правят хирургична намеса по собствена преценка, там където не трябва.",0,0,0,0,215
"Няма как да създадеш биологичният пол на чужд човек, само защото искаш да го поставиш в рамка.",0,0,0,0,94
"Това е друго нещо, което чувам често.",0,0,0,0,37
Всъщност на английски вече се популяризират термините AFAB и AMAB – Assigned Female at Birth и Assigned Male at Birth и това се случва с причина.,0,0,0,0,145
"Може би това е нещото, което всъщност се търси в случая и липсва, а спокойно може да фигурира в медицински документи.",0,0,0,0,117
Разбирането за пол и липсата на разграничаването на пол и sex в България създава множество обърквания.,0,0,0,0,102
Фигурирането на нещо подобно в документите трябва да е силно лично и конфиденциално.,0,0,0,0,84
Единствено трябва да сме отворени и готови за промяна.,0,0,0,0,54
Грешно!,0,0,0,0,7
"Транс хора винаги са съществували, но историците често пренебрегват или умишлено заличават всякакви признаци за нас.",0,0,0,0,116
"ЛГБТ заличаване (Queer erasure) от историята като цяло ражда такива разбирания, но те не са факти.",0,0,0,0,98
Под един ъгъл – той не съществува.,0,0,0,0,34
"Всички ние сме едни небинарни човешки същества, които бродим и кретаме по тази земя с всякакви гениталии, хромозоми и други отличителни белези.",0,0,0,0,143
Именно това прави ултиматният пол на човека най-вече съществуват вътре в нашите глави – част от нашата идентичност.,0,0,0,0,115
При някои себеосъзнаването за него идва в много ранна възраст и не се променя – при други (възможно заради социалният натиск) идва в по-късен етап.,0,0,0,0,147
"Уви често у нас изоставаме в разбиранията си – не само в политиката и медицината, но и културно.",0,0,0,0,96
Въпрос на време е типичните представи за биологичен пол да се разпаднат.,0,0,0,0,72
"Промяната идва, и е по-добре да сме част от нея, от колкото да вървим срещу течението.",0,0,0,0,86
"Особено, когато става въпрос за човешки животи.",0,0,0,0,47
"Снимка: Sucker Punch, WB",0,0,0,0,24
"Всеки трима от четирима са били тормозени в училище заради половата си идентичност в България, жалбите към полицията продължават да са малко, а малко над 30% са се сблъсквали с т.нар.",0,0,0,0,183
"практика на „обръщане“, за да ги накарат да променят сексуалната си ориентация и/или половата си идентичност, съобщава Дневник.",0,0,0,0,127
"Това са част от изводите на последното проучване на Агенцията на Европейския съюз за основните права (FRA), в което са се включили повече от 100 хиляди души, определящи себе си като част от ЛГБТИ+ общността, от всички 27 страни членки на Европейския съюз и Албания, Република Северна Македония и Сърбия.",0,0,0,0,303
Подобно проучване е правено през 2012 и 2019 г.,0,0,0,0,47
"Заключенията от изследването са, че в страните от Европейския съюз случаите на тормоз и насилие спрямо ЛГБТИ+ хората се увеличават, но на фона на тенденцията все повече хора открито да заявяват идентичността си и да срещат подкрепа от приятели, семейство и учители.",0,0,0,0,265
"Нивата на дискриминация също са високи, но бележат постепенен спад в страните от ЕС.",0,0,0,0,84
"Училищата са все по-проактивни в отношението си към ЛГБТИ+ темите, а младите хора срещат повече подкрепа от своите преподаватели и съученици.",0,0,0,0,141
Въпреки това тормозът и насилието срещу тях е на рекордно високо ниво.,0,0,0,0,70
Ситуацията в България е малко по-различна от общата за Европейския съюз и резултатите по много малко от показателите се доближават до средните за ЕС.,0,0,0,0,149
"У нас двойките все още се притесняват да се държат за ръка на публично място или открито да заявяват, че са част от ЛГБТИ+ общността.",0,0,0,0,133
"Ако процентът за Европейския съюз по откритост е 51%, то в България само 27% от респондентите казват, че са открити по темата.",0,0,0,0,126
"За близо 50% от хората в България, участвали в изследването, предразсъдъците и нетолерантността към ЛГБТИ+ общността са се увеличили през последните пет години.",0,0,0,0,160
Подобно усещане средно за Европейския съюз имат 53% от анкетираните.,0,0,0,0,68
"Данните за България показват още, че:",0,0,0,0,37
Наскоро Българският хелзинкски комитет (БХК) акцентира в годишния си доклад за човешките права за 2023 г.,0,0,0,0,105
"именно върху засилващата се реч на омразата към хората, определящи се като част от ЛГБТИ+ общността.",0,0,0,0,100
През 2023 г.,0,0,0,0,12
в България 28% са се чувствали дискриминирани на работа или в търсене на работа.,0,0,0,0,80
Средният процент по този показател за Европейския съюз е 19%.,0,0,0,0,61
