,Word,Toxic/Indecent,Medical/Biological,Multiple Meanings,Related to LGBT/Other
1,акам,1,0,0,0
2,акаме,1,0,0,0
3,акат,1,0,0,0
4,акате,1,0,0,0
5,акото,1,0,0,0
6,анилингус,1,0,0,0
7,анилингуси,1,0,0,0
8,бозки,1,0,0,0
9,бозките,1,0,0,0
10,букаке,1,0,0,0
11,букакета,1,0,0,0
12,букакетата,1,0,0,0
13,вагина,1,1,0,0
14,вагината,1,1,0,0
15,вагини,1,1,0,0
16,вагините,1,1,0,0
17,втф,1,0,0,0
18,глупак,1,0,0,0
19,глупаци,1,0,0,0
20,глупости,1,0,1,0
21,гноемъд,1,0,0,0
22,говна,1,0,0,0
23,гъз,1,0,0,0
24,гъза,1,0,0,0
25,гъзобар,1,0,0,0
26,гъзоблиз,1,0,0,0
27,гъзобрък,1,0,0,0
28,гъзове,1,0,0,0
29,гъзовете,1,0,0,0
30,гърди,1,1,0,0
31,гърдите,1,1,0,0
32,деба,1,0,0,0
33,дееба,1,0,0,0
34,дупара,1,0,0,0
35,дупарата,1,0,0,0
36,дупари,1,0,0,0
37,дупарите,1,0,0,0
38,дупе,1,0,0,0
39,дупета,1,0,0,0
40,дупетата,1,0,0,0
41,еба,1,0,0,0
42,ебан,1,0,0,0
43,ебана,1,0,0,0
44,ебане,1,0,0,0
45,ебано,1,0,0,0
46,ебаняк,1,0,0,0
47,ебаси,1,0,0,0
48,ебат,1,0,0,0
49,ебач,1,0,0,0
50,ебача,1,0,0,0
51,ебачи,1,0,0,0
52,ебачите,1,0,0,0
53,ебачът,1,0,0,0
54,ебем,1,0,0,0
55,еби,1,0,0,0
56,ебльо,1,0,0,0
57,еякулации,1,1,0,0
58,еякулация,1,1,0,0
59,еякулирам,1,1,0,0
60,еякулират,1,1,0,0
61,еякулирате,1,1,0,0
62,жмуд,1,0,0,0
63,жмуди,1,0,0,0
64,жълтур,1,0,0,0
65,жълтури,1,0,0,0
66,жълтурковци,1,0,0,0
67,задник,1,0,0,0
68,задници,1,0,0,0
69,задниците,1,0,0,0
70,идиот,1,0,0,0
71,идиота,1,0,0,0
72,идиоти,1,0,0,0
73,идиотите,1,0,0,0
74,изпразване,1,0,1,0
75,изпразването,1,0,1,0
76,изсера,1,0,0,0
77,изсирам,1,0,0,0
78,изсра,1,0,0,0
79,изсрал,1,0,0,0
80,каламбаци,1,0,0,0
81,кендза,1,0,0,0
82,кендзал,1,0,0,0
83,кендзалник,1,0,0,0
84,кендзам,1,0,0,0
85,кенефоводолаз,1,0,0,0
86,кенза,1,0,0,0
87,кензал,1,0,0,0
88,кензам,1,0,0,0
89,клеца,1,0,0,0
90,клецам,1,0,0,0
91,клецат,1,0,0,0
92,копеле,1,0,0,0
93,копелета,1,0,0,0
94,копелетата,1,0,0,0
95,копелето,1,0,0,0
96,кретен,1,0,0,0
97,кур,1,0,0,0
98,кура,1,0,0,0
99,курва,1,0,0,0
100,курвата,1,0,0,0
101,курви,1,0,0,0
102,курвите,1,0,0,0
103,курволяк,1,0,0,0
104,курволяка,1,0,0,0
105,курволякът,1,0,0,0
106,курволяци,1,0,0,0
107,курволяците,1,0,0,0
108,кучка,1,0,1,0
109,кучката,1,0,1,0
110,кучки,1,0,1,0
111,кучките,1,0,1,0
112,кюнец,1,0,1,0
113,кюнци,1,0,1,0
114,лайна,1,0,0,0
115,лайнар,1,0,0,0
116,лайнарка,1,0,0,0
117,лайната,1,0,0,0
118,лайненце,1,0,0,0
119,лайно,1,0,0,0
120,лайното,1,0,0,0
121,лесбос,1,0,1,0
122,лесбоси,1,0,0,0
123,лесбосите,1,0,0,0
124,майна,1,0,0,0
125,манаф,1,0,0,0
126,манафи,1,0,0,0
127,манафите,1,0,0,0
128,мангал,1,0,0,0
129,мастурбатор,1,1,0,0
130,мастурбация,1,1,0,0
131,мастурбацията,1,1,0,0
132,мастурбирам,1,1,0,0
133,мастурбираме,1,1,0,0
134,мастурбират,1,1,0,0
135,милф,1,0,0,0
136,минджа,1,0,0,0
137,минджата,1,0,0,0
138,минет,1,0,0,0
139,мкбч,1,0,0,0
140,мъде,1,0,0,0
141,мъдо,1,0,0,0
142,наебан,1,0,0,0
143,наебана,1,0,0,0
144,наебаната,1,0,0,0
145,наебани,1,0,0,0
146,наебаните,1,0,0,0
147,наебания,1,0,0,0
148,наебаният,1,0,0,0
149,наци,1,0,0,1
150,нацита,1,0,0,1
151,нацитата,1,0,0,1
152,нацито,1,0,0,1
153,негодник,1,0,0,0
154,негодници,1,0,0,0
155,негри,1,0,0,0
156,негро,1,0,0,0
157,негър,1,0,0,0
158,олигофрен,1,0,0,0
159,онодя,1,0,0,0
160,онождам,1,0,0,0
161,оргия,1,0,0,0
162,панис,1,0,0,0
163,паниса,1,0,0,0
164,паниси,1,0,0,0
165,панисите,1,0,0,0
166,педал,1,0,1,0
167,педали,1,0,1,0
168,педераз,1,0,0,0
169,педерас,1,0,0,0
170,педераси,1,0,0,1
171,педераст,1,0,0,1
172,педерасти,1,0,0,1
173,педи,1,0,0,1
174,педофил,1,0,0,0
175,педофила,1,0,0,0
176,педофили,1,0,0,0
177,педофилите,1,0,0,0
178,педофилът,1,0,0,0
179,пендюха,1,0,0,0
180,пенис,1,1,0,0
181,пениса,1,1,0,0
182,пениси,1,1,0,0
183,пенисите,1,1,0,0
184,печка,1,0,1,0
185,пичка,1,0,0,0
186,порно,1,0,0,0
187,порното,1,0,0,0
188,проклетник,1,0,0,0
189,проклетници,1,0,0,0
190,проклетниците,1,0,0,0
191,проститутка,1,0,0,0
192,проститутката,1,0,0,0
193,проститутки,1,0,0,0
194,проститутките,1,0,0,0
195,простотии,1,0,0,0
196,пръдляч,1,0,0,0
197,пръдна,1,0,0,0
198,пръднеш,1,0,0,0
199,пръдни,1,0,0,0
200,пръдните,1,0,0,0
201,пръдня,1,0,0,0
202,пръднята,1,0,0,0
203,пуси,1,0,0,0
204,путе,1,0,0,0
205,путенце,1,0,0,0
206,путенцето,1,0,0,0
207,путето,1,0,0,0
208,путка,1,0,0,0
209,путката,1,0,0,0
210,путки,1,0,0,0
211,путките,1,0,0,0
212,путчица,1,0,0,0
213,путчицата,1,0,0,0
214,путчици,1,0,0,0
215,путчиците,1,0,0,0
216,пърдя,1,0,0,0
217,свирка,1,0,1,0
218,свирки,1,0,1,0
219,свирките,1,0,1,0
220,седалище,1,1,1,0
221,седалището,1,1,1,0
222,секс,1,1,0,0
223,селтак,1,0,0,0
224,сельо,1,0,0,0
225,сера,1,0,0,0
226,серам,1,0,0,0
227,слабоумен,1,0,0,0
228,слабоумна,1,0,0,0
229,слабоумната,1,0,0,0
230,слабоумни,1,0,0,0
231,слабоумните,1,0,0,0
232,слабоумния,1,0,0,0
233,слабоумният,1,0,0,0
234,содомизиран,1,0,0,0
235,содомия,1,1,0,0
236,сперма,1,1,0,0
237,спермата,1,1,0,0
