text,Toxic,MedicalTerminology,NonToxic,MinorityGroup,sentence_length,labels
ей това ти е грешката че не си      набила един ритник в мършавия задник и да я изпратиш да пасе,1.0,0.0,0.0,0.0,96,0
"Следвайте препоръките, които Ви дадох!",0.0,1.0,0.0,0.0,38,1
"Картата и индексът представят картина на настоящия политически пейзаж, а препоръките за отделните държави се опитват да отговорят на въпроса „какво следва?„.",0.0,0.0,0.0,1.0,157,3
беркер и сера никога не са били заедно,0.0,0.0,1.0,0.0,38,2
и той се прави на идиот с тази лента и прическа иначе е симпатично момче,1.0,0.0,0.0,0.0,72,0
"Много пасивни мъже откриват това чувство, използвайки секс играчки.",0.0,1.0,0.0,0.0,67,1
да чукам на дърво при мм липсва тази бурна реакция с коронската ваксина нито пък развива някаква болнична картина,0.0,0.0,1.0,0.0,113,2
секс в банята под душа,1.0,0.0,0.0,0.0,22,0
от снимките си избрах дупе и крака,1.0,0.0,0.0,0.0,34,0
май точно ръкавиците които си спомня еля,0.0,0.0,1.0,0.0,40,2
ама за някой с когото основно правиш секс не би трябвало да те вълнува колко е добър по душа и пр,1.0,0.0,0.0,0.0,97,0
той ми вика  само ако знаеш колко от тия мачовците където ги гледаш че уж мразят гейове всъщност искат да правят секс с мъж,1.0,0.0,0.0,0.0,123,0
тва някакъв много ванила секс трябва да е за да ви идва пауъра,1.0,0.0,0.0,0.0,62,0
не издържам повече на тази мрачна злонамерена идея глупости говориш брат,1.0,0.0,0.0,0.0,72,0
"Нямам възможност да отида на лекар   Здравейте, Kev1n!Аз лично не препоръчвам провеждане на самолечение.",0.0,1.0,0.0,0.0,104,1
обстоятелствен излишно обяснява някакви неща покрай наистина важните точки,0.0,0.0,1.0,0.0,74,2
моите мутации са фактор   на лайден хетеро и пай  г  г хомо,1.0,0.0,0.0,0.0,59,0
за дупе си спомням че съм правила тази която е ок без да е от найдобрите й тренировки,1.0,0.0,0.0,0.0,85,0
с това порно просто мъжете вече мега много ги мързи,1.0,0.0,0.0,0.0,51,0
глупости съм написала rage точно обратно шия на дясно и после на ляво  кръстче и полукръстчето съответно на дясно,1.0,0.0,0.0,0.0,113,0
г/д за същия период от 5 г.,0.0,1.0,0.0,0.0,27,1
в момента слагам глобули които миришат на противопаразитна каишка между другото много странно dда разведря малко атмосферата с една история за това оня ден си го слагам и понеже миризмата е доста силна и за момент се разнесе леко и мъжът ми вика обичам те дори когато миришеш на куче d d dи на него не му е леко вече   месец е без секс не смея просто,1.0,0.0,0.0,0.0,350,0
паднах по дупе на дървен под в дървена и празна къща която бе моя,1.0,0.0,0.0,0.0,65,0
но всички искат секс,1.0,0.0,0.0,0.0,20,0
а задници в нашето съвремиедал господ,1.0,0.0,0.0,0.0,37,0
Сметнах за добре да направя снимка.,0.0,1.0,0.0,0.0,35,1
дадох пример за майка но мога да дам много примери за бащи честно казано откровени идиоти дори и бащи не мога да ги нарека,1.0,0.0,0.0,0.0,122,0
"Това, че ТСХ е било нормално не означава, че половите хормони са в норма.",0.0,1.0,0.0,0.0,73,1
важното е че не се влошава да чукам на дърво,0.0,0.0,1.0,0.0,44,2
в реалния свят това е нейният скутт в който спим гърдите й с които се храним и именно нейното присъствие ни кара да се чувстваме обичани и ценени,0.0,1.0,0.0,0.0,145,1
днес корем и долна част тествах новото видео на памела за начало  един доста различен корем с линда хареса ми  крака и дупе с тежести за глезени,1.0,0.0,0.0,0.0,144,0
"С- реактивен протеин 0,40 при стойности до 5.",0.0,1.0,0.0,0.0,45,1
фотев и романова в секс сцена,1.0,0.0,0.0,0.0,29,0
оооо ако нечии задник изглежда декар в дънки с висока талия в такива с ниска ще е поне декар и половина,1.0,0.0,0.0,0.0,103,0
голям хуй ядохме с ония стари машини,1.0,0.0,0.0,0.0,36,0
"Употреба само на такива таблетки без рецепта няма да излекува инфекцията.Ако имате само бърза загуба на свежест без други симптоми, би могло да опитате само с вагинални таблетки, които не изискват лекарско предписание.",0.0,1.0,0.0,0.0,218,1
и аз се страхувам и не мога да се отпусна напълно по време на секс рядко го правим но последния път ми беше много хубаво,0.0,1.0,0.0,0.0,120,1
акън бабо не говори глупости,1.0,0.0,0.0,0.0,28,0
"Но може ли да ми кажете от какво може да е този гъст, лепкав секрет?",0.0,1.0,0.0,0.0,68,1
за пренебрежителното отношение по телефона все едно си първи идиот няма да говоря,1.0,0.0,0.0,0.0,81,0
тая има голяма путка,1.0,0.0,0.0,0.0,20,0
бива ли мп да е такъв идиот,1.0,0.0,0.0,0.0,27,0
ако не искат нежелани бебета не правиш секс,0.0,1.0,0.0,0.0,43,1
ами не не е кавалер да плати    лв в замяна на които да очаква секс примерна,1.0,0.0,0.0,0.0,76,0
аз съм идиот който без проблем прави грандиозни компромиси без усещане че са му изпили кръвчицата но понякога се запъвам като магаре на мост за дреболии,1.0,0.0,0.0,0.0,152,0
много порно излъчванеповедение дрехи и т,1.0,0.0,0.0,0.0,40,0
за съжаление чаровната кучка вече е баба но тогава беше млада,1.0,0.0,0.0,0.0,61,0
